name,category,type,district,wgs_lng,wgs_lat
菜鸟驿站,life,生活服务;生活服务场所;生活服务场所,金牛区,104.026423,30.730973
鑫新美容美体生活馆,life,生活服务;美容美发店;美容美发店,金牛区,104.026848,30.729943
颜の艺科技美容及半永久妆容中心,life,生活服务;生活服务场所;生活服务场所,金牛区,104.025112,30.731041
欧博士植物养发馆,life,生活服务;生活服务场所;生活服务场所,金牛区,104.026079,30.730379
植物染发馆,life,生活服务;美容美发店;美容美发店,金牛区,104.026013,30.730393
诺溢房产,life,生活服务;生活服务场所;生活服务场所,金牛区,104.025344,30.730568
和谐养生馆,life,生活服务;美容美发店;美容美发店,金牛区,104.026597,30.729912
锦尚发艺(府河星城馨苑东),life,生活服务;美容美发店;美容美发店,金牛区,104.030552,30.729882
菜鸟驿站(百世邻里府河星城70栋101快递之家),life,生活服务;物流速递;物流速递,金牛区,104.02581,30.730139
四川浩天驾校招生处,life,生活服务;生活服务场所;生活服务场所,金牛区,104.033424,30.737886
匠人1+1烫染铭店,life,生活服务;美容美发店;美容美发店,金牛区,104.033447,30.737852
中国移动(西华服务厅),life,生活服务;电讯营业厅;中国移动营业厅,金牛区,104.025895,30.732731
圆梦养生馆,life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,104.02503,30.731076
中国体育彩票,life,生活服务;彩票彩券销售点;彩票彩券销售点,金牛区,104.02674,30.732874
龙翔国际旅游,life,生活服务;旅行社;旅行社,金牛区,104.026058,30.732803
中国福利彩票,life,生活服务;彩票彩券销售点;彩票彩券销售点,金牛区,104.02584,30.733962
脊柱梳理(府河星城店),life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,104.026806,30.731112
快捷托运部,life,生活服务;物流速递;物流速递,金牛区,104.036957,30.736477
五州货运,life,生活服务;物流速递;物流速递,金牛区,104.036957,30.736477
雄起物流(原捷成物流),life,生活服务;物流速递;物流速递,金牛区,104.036957,30.736477
金龙货运有限公司,life,生活服务;生活服务场所;生活服务场所,金牛区,104.036957,30.736477
成都市冠杰捷达货运部,life,生活服务;生活服务场所;生活服务场所,金牛区,104.036957,30.736477
鑫金源货运信息部,life,生活服务;生活服务场所;生活服务场所,金牛区,104.036957,30.736477
成都大秦物流有限责任公司,life,生活服务;生活服务场所;生活服务场所,金牛区,104.036957,30.736477
龙马兴旺货运,life,生活服务;物流速递;物流速递,金牛区,104.036443,30.736097
成都众捷物流有限公司,life,生活服务;物流速递;物流速递,金牛区,104.036443,30.736097
西南货物托运站,life,生活服务;生活服务场所;生活服务场所,金牛区,104.036443,30.736097
成都振强物流有限公司(原川云托运部),life,生活服务;物流速递;物流速递,金牛区,104.036957,30.736477
四川东方金凤凰物联网平台第三方物流仓储配送,life,生活服务;生活服务场所;生活服务场所,金牛区,104.036443,30.736097
远方物流,life,生活服务;物流速递;物流速递,金牛区,104.036427,30.736121
康蓬快运,life,生活服务;物流速递;物流速递,金牛区,104.036254,30.735964
佳信物流取货点,life,生活服务;物流速递;物流速递,金牛区,104.036332,30.736058
迅达物流,life,生活服务;物流速递;物流速递,金牛区,104.036044,30.735933
华西集团有限公司租赁分公司第一租赁站,life,生活服务;生活服务场所;生活服务场所,金牛区,104.041604,30.732877
金凤凰物流园,life,生活服务;物流速递;物流速递,金牛区,104.036226,30.736898
小易机械加工,life,生活服务;生活服务场所;生活服务场所,金牛区,104.043064,30.733786
收废品,life,生活服务;生活服务场所;生活服务场所,金牛区,104.043079,30.733803
震洪印务,life,生活服务;生活服务场所;生活服务场所,金牛区,104.034616,30.737901
栋梁驾校报名点(金芙蓉大道),life,生活服务;生活服务场所;生活服务场所,金牛区,104.035049,30.738427
金箭驾校报名处,life,生活服务;生活服务场所;生活服务场所,金牛区,104.041009,30.739302
均隆专业防水补漏,life,生活服务;生活服务场所;生活服务场所,金牛区,104.034083,30.738755
洪宾通讯,life,生活服务;维修站点;维修站点,金牛区,104.034511,30.737853
精修电动车,life,生活服务;维修站点;维修站点,金牛区,104.041032,30.73921
宏久调色中心,life,生活服务;生活服务场所;生活服务场所,金牛区,104.047854,30.735124
黄河广告(川建路),life,生活服务;生活服务场所;生活服务场所,金牛区,104.047817,30.73512
中国福利彩票,life,生活服务;彩票彩券销售点;彩票彩券销售点,金牛区,104.047732,30.735122
中国体育彩票,life,生活服务;彩票彩券销售点;彩票彩券销售点,金牛区,104.047686,30.735121
卡行天下物流,life,生活服务;物流速递;物流速递,金牛区,104.04951,30.735477
成都市荣鑫蓬布加工厂服务组,life,生活服务;生活服务场所;生活服务场所,金牛区,104.049343,30.735771
三山水业,life,生活服务;生活服务场所;生活服务场所,金牛区,104.049323,30.735642
小文电器,life,生活服务;维修站点;维修站点,金牛区,104.049337,30.73573
中国福利彩票,life,生活服务;彩票彩券销售点;彩票彩券销售点,金牛区,104.049607,30.735649
全兴水业(川建路),life,生活服务;生活服务场所;生活服务场所,金牛区,104.04993,30.735448
中国体育彩票,life,生活服务;彩票彩券销售点;彩票彩券销售点,金牛区,104.0501,30.735453
承接9米内大小件热浸镀锌,life,生活服务;生活服务场所;生活服务场所,金牛区,104.049337,30.735957
汇通快递,life,生活服务;物流速递;物流速递,金牛区,104.04939,30.73598
钟师家电维修,life,生活服务;维修站点;维修站点,金牛区,104.050246,30.735448
四川君健物流,life,生活服务;物流速递;物流速递,金牛区,104.047553,30.732333
特种垃圾临时存放点,life,生活服务;生活服务场所;生活服务场所,金牛区,104.04966,30.73655
张老五维修店,life,生活服务;维修站点;维修站点,金牛区,104.05106,30.735444
助老之家(川建服务中心),life,生活服务;生活服务场所;生活服务场所,金牛区,104.051451,30.735159
科立隆服务中心,life,生活服务;生活服务场所;生活服务场所,金牛区,104.047357,30.73195
川建物流,life,生活服务;物流速递;物流速递,金牛区,104.049791,30.73675
尚龙商务,life,生活服务;生活服务场所;生活服务场所,金牛区,104.047357,30.73195
宝马物流(古柏路),life,生活服务;物流速递;物流速递,金牛区,104.049716,30.736942
中国电信电视宽带手机服务中心,life,生活服务;生活服务场所;生活服务场所,金牛区,104.051964,30.735126
恒远配送中心,life,生活服务;生活服务场所;生活服务场所,金牛区,104.046416,30.73179
鑫昊瑞金属制品加工中心,life,生活服务;生活服务场所;生活服务场所,金牛区,104.049748,30.737407
电动工具维修,life,生活服务;维修站点;维修站点,金牛区,104.049475,30.737618
一路走来图文广告制作部,life,生活服务;生活服务场所;生活服务场所,金牛区,104.049747,30.737654
金维客家电服务中心(川建路),life,生活服务;维修站点;维修站点,金牛区,104.052719,30.735434
金箭驾校(建机厂分校报名点),life,生活服务;生活服务场所;生活服务场所,金牛区,104.05252,30.735428
中国体育彩票,life,生活服务;彩票彩券销售点;彩票彩券销售点,金牛区,104.052686,30.735431
红色电器维修部(川建路),life,生活服务;维修站点;维修站点,金牛区,104.052727,30.735455
鑫顺机械,life,生活服务;生活服务场所;生活服务场所,金牛区,104.049715,30.738048
西南焊接,life,生活服务;维修站点;维修站点,金牛区,104.045653,30.731499
洞子口液化气配送点第四十三联络点,life,生活服务;生活服务场所;生活服务场所,金牛区,104.049698,30.738136
中国福利彩票,life,生活服务;彩票彩券销售点;彩票彩券销售点,金牛区,104.052964,30.735429
鼎力机械,life,生活服务;生活服务场所;生活服务场所,金牛区,104.049691,30.738245
蒋氏汽车氧电焊,life,生活服务;生活服务场所;生活服务场所,金牛区,104.049641,30.738325
力展物流(量力营业部),life,生活服务;物流速递;物流速递,金牛区,104.045648,30.731181
宜都金属加工部,life,生活服务;生活服务场所;生活服务场所,金牛区,104.049679,30.738348
宏顺机械加工(古柏路),life,生活服务;生活服务场所;生活服务场所,金牛区,104.049677,30.738405
量力钢材物流中心D交易区西区(西南门),life,生活服务;生活服务场所;生活服务场所,金牛区,104.04589,30.737884
万通金属加工,life,生活服务;生活服务场所;生活服务场所,金牛区,104.049667,30.73851
科欣开票大厅,life,生活服务;生活服务场所;生活服务场所,金牛区,104.046252,30.730569
成都金凹凸激光切割中心,life,生活服务;生活服务场所;生活服务场所,金牛区,104.049645,30.738724
瀚浩空间装饰,life,生活服务;生活服务场所;生活服务场所,金牛区,104.046657,30.730196
创赢机械,life,生活服务;生活服务场所;生活服务场所,金牛区,104.049581,30.738917
浩亮电子技术服务部,life,生活服务;生活服务场所;生活服务场所,金牛区,104.046497,30.729758
格兰富水汞技术服务中心,life,生活服务;生活服务场所;生活服务场所,金牛区,104.046497,30.729758
量力钢铁城区域分布图,life,生活服务;生活服务场所;生活服务场所,金牛区,104.045077,30.730627
量力钢材物流中心D交易区西区(南门),life,生活服务;生活服务场所;生活服务场所,金牛区,104.049138,30.739279
启鸿装饰,life,生活服务;生活服务场所;生活服务场所,金牛区,104.046517,30.729788
宝格厘装饰工程,life,生活服务;生活服务场所;生活服务场所,金牛区,104.046517,30.729788
瑞昱装饰,life,生活服务;生活服务场所;生活服务场所,金牛区,104.046517,30.729788
成都量力钢材物流中心(古柏路),life,生活服务;物流速递;物流速递,金牛区,104.050033,30.729601
华雕装饰,life,生活服务;生活服务场所;生活服务场所,金牛区,104.046497,30.729758
拓峰装饰,life,生活服务;生活服务场所;生活服务场所,金牛区,104.046996,30.729436
四川北展律师事务所,life,生活服务;生活服务场所;生活服务场所,金牛区,104.046996,30.729435
中国移动(沙河服务厅),life,生活服务;电讯营业厅;中国移动营业厅,金牛区,104.052328,30.735447
中国电信(古柏路建机厂营业厅),life,生活服务;电讯营业厅;中国电信营业厅,金牛区,104.049725,30.735428
靓丽摄影(古柏路),life,生活服务;摄影冲印店;摄影冲印,金牛区,104.049749,30.737591
中国移动通信,life,生活服务;电讯营业厅;中国移动营业厅,金牛区,104.049346,30.735878
蓝光水业(川建路),life,购物服务;专卖店;专营店|生活服务;生活服务场所;生活服务场所,金牛区,104.052857,30.735432
时尚风格发型烫染店,life,生活服务;美容美发店;美容美发店,金牛区,104.052747,30.73543
晓周发艺,life,生活服务;美容美发店;美容美发店,金牛区,104.050021,30.73545
豪洋美发造型设计,life,生活服务;美容美发店;美容美发店,金牛区,104.052402,30.735454
芳芳数码照相(川建南二路),life,生活服务;摄影冲印店;摄影冲印,金牛区,104.049649,30.733731
付妹美发,life,生活服务;美容美发店;美容美发店,金牛区,104.049642,30.733763
快顺达运业,life,生活服务;生活服务场所;生活服务场所,金牛区,104.045313,30.730429
渝川通物流,life,生活服务;物流速递;物流速递,金牛区,104.046511,30.737917
成都新阳安物流,life,生活服务;物流速递;物流速递,金牛区,104.051564,30.734657
洪达广告,life,生活服务;生活服务场所;生活服务场所,金牛区,104.04932,30.73551
玉颜馨美容养生馆,life,生活服务;美容美发店;美容美发店,金牛区,104.058587,30.734436
剪艺专业形象设计(朗润路),life,生活服务;美容美发店;美容美发店,金牛区,104.059617,30.734544
化妆造型美甲美睫纹绣,life,生活服务;美容美发店;美容美发店,金牛区,104.059651,30.734616
收废铁,life,生活服务;生活服务场所;生活服务场所,金牛区,104.058517,30.735399
蓝剑水世界(金牛区陆家九队三分店),life,生活服务;生活服务场所;生活服务场所,金牛区,104.058316,30.73541
形色纹绣美甲美睫化妆,life,生活服务;生活服务场所;生活服务场所,金牛区,104.059866,30.734061
婉香如玉,life,生活服务;美容美发店;美容美发店,金牛区,104.059648,30.733659
名创发艺(朗润路),life,生活服务;美容美发店;美容美发店,金牛区,104.059656,30.733623
靓丽堂SPA,life,生活服务;美容美发店;美容美发店,金牛区,104.056205,30.734284
唯美美容美发(泉水路),life,生活服务;美容美发店;美容美发店,金牛区,104.056111,30.734195
靓点空间烫染店,life,生活服务;美容美发店;美容美发店,金牛区,104.060758,30.735446
东邻造型,life,生活服务;美容美发店;美容美发店,金牛区,104.060568,30.736424
陈杨各种家电维修,life,生活服务;维修站点;维修站点,金牛区,104.058854,30.735398
石岭公墓办事处(川建路),life,生活服务;生活服务场所;生活服务场所,金牛区,104.058886,30.735463
雪峰家电维修(川建路),life,生活服务;维修站点;维修站点,金牛区,104.060559,30.735448
泉水人家社区公共事务服务站,life,生活服务;生活服务场所;生活服务场所,金牛区,104.056102,30.733651
富桥靓丽堂,life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,104.056111,30.734195
公交驾校报名点,life,生活服务;生活服务场所;生活服务场所,金牛区,104.060694,30.735435
益家家电制冷维修,life,生活服务;维修站点;维修站点,金牛区,104.060688,30.735444
沈氏棉絮加工,life,生活服务;生活服务场所;生活服务场所,金牛区,104.060811,30.735423
