name,category,type,district,wgs_lng,wgs_lat
巴蜀迷情展演,sports,体育休闲服务;休闲场所;游乐场|体育休闲服务;娱乐场所;娱乐场所,金牛区,104.031884,30.727971
渔猎漂流,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.030739,30.727454
泡球战场,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.029629,30.725189
弓箭手,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.031684,30.728522
桑巴气球,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.028645,30.725314
极限运动,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.030134,30.72375
古墓奇遇,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.031899,30.728083
加勒比水上舞台,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.033343,30.726615
趣味游戏,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.028341,30.724109
趣味游戏,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.031613,30.728318
星际飞翔,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.028399,30.725114
到此一游,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.029506,30.725079
成都欢乐谷卡通迎宾,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.032116,30.722772
高空杂技,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.033527,30.724525
多米诺水屋,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.032802,30.725727
飓风滑道,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.033137,30.727558
南美风情,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.032602,30.726688
逍遥车,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.031527,30.722631
3D幽灵城堡,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.031185,30.722904
冒险鸭,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.031447,30.722963
巴蜀烽云射击场,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.032014,30.727884
魔豆小镇亲子游乐园,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.030519,30.720975
日晷迷旋,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.03099,30.727973
水陆攻战,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.031461,30.72826
飞行岛,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.032227,30.724944
成都欢乐谷(北门),sports,体育休闲服务;休闲场所;游乐场|通行设施;临街院门;临街院门,金牛区,104.028301,30.724632
鸟笼,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.031215,30.725599
转转马,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.030266,30.724733
互动剧场,sports,体育休闲服务;影剧院;剧场,金牛区,104.028736,30.725427
