name,category,type,district,wgs_lng,wgs_lat
仁和堂药房(古柏店),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.050387,30.735522
量力医药健康城,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.045409,30.736594
齐顺堂大药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.052512,30.73536
金牛区和泽堂大药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.050344,30.735456
岚湖器械,medical,医疗保健服务;医药保健销售店;医疗保健用品,金牛区,104.047031,30.732294
梦偲恒春堂,medical,医疗保健服务;医药保健销售店;医疗保健用品,金牛区,104.04684,30.731909
四川康贝(齐顺堂大药房),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.052602,30.73543
金建人民医院-综合楼,medical,医疗保健服务;综合医院;综合医院,金牛区,104.050137,30.735918
金建人民医院-急诊,medical,医疗保健服务;综合医院;综合医院,金牛区,104.049988,30.736078
金建人民医院-门诊,medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,104.049988,30.736077
金牛区欣唯康保健用品经营部,medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,104.046252,30.730569
金牛区欣愿怡保健用品经营部,medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,104.046252,30.730569
金牛区欣锐堂保健用品经营部,medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,104.046252,30.730569
金牛区诚美云保健品经营部,medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,104.046252,30.730569
金牛区鑫昕保健用品经营部,medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,104.046497,30.729759
百汇吉金牛济康诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.056111,30.734372
金牛秦氏康复诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.061896,30.735451
金牛双乐诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.059639,30.73476
兴明心中西医诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.059406,30.730754
百汇吉惠泽中西医诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.057793,30.730725
汇泽金鑫诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.05778,30.730667
金牛区益生堂诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.062171,30.729896
同泰堂大药房(嘉泽路),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.058468,30.730742
冠瑞高电位治疗机,medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,104.059636,30.733223
名泰健康生活馆,medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,104.059805,30.7354
芙蓉大药房(嘉泽路),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.058319,30.730742
中医针灸罐疗,medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,104.061232,30.73537
成都全愈堂,medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,104.059666,30.733652
成都生愈堂(朗润路药店),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.059659,30.733927
乐益堂大药房(朗润路),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.059648,30.733698
金牛区诚信药店,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.053924,30.73543
成都本草堂药品(益民堂店),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.058784,30.735458
娣德诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.058698,30.730739
金牛泉水人家诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.059656,30.734261
金牛区康晖药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.064331,30.737299
康贝大药房(荣康大药房店),medical,医疗保健服务;医药保健销售店;药房,成华区,104.101463,30.729456
成都市基本医疗保险定点医疗机构,medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,104.112851,30.733397
四川地质医院,medical,医疗保健服务;综合医院;综合医院,金牛区,104.112274,30.733915
成华清华诊所,medical,医疗保健服务;诊所;诊所,成华区,104.109277,30.731125
四川地质医院-住院部,medical,医疗保健服务;综合医院;综合医院,金牛区,104.11321,30.733987
丽齿口腔,medical,医疗保健服务;专科医院;口腔医院,金牛区,104.106451,30.731441
性趣成人用品店,medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,成华区,104.110344,30.730984
成人用品,medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,104.108009,30.733352
回春大药房(湾仔巷),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.105955,30.73542
四川省人民医院健康体检中心北区分部,medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,成华区,104.112041,30.73068
芙蓉大药房(蜀林店),medical,医疗保健服务;医药保健销售店;药房,成华区,104.108321,30.731382
成华旭升中西医结合诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.113624,30.733952
九华药品(蜀陵路),medical,医疗保健服务;医药保健销售店;药房,成华区,104.121215,30.738621
铁卫诊所,medical,医疗保健服务;诊所;诊所,成华区,104.118967,30.737445
石岭社区卫生服务站,medical,医疗保健服务;综合医院;卫生院|医疗保健服务;诊所;诊所,成华区,104.124188,30.738898
回龙社区卫生服务站(熊猫大道),medical,医疗保健服务;综合医院;卫生院,成华区,104.145387,30.734957
普康保健,medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,103.976767,30.724547
中联大药房(中海国际),medical,医疗保健服务;医药保健销售店;药房,金牛区,103.977866,30.723976
御健堂大药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,103.976324,30.72167
宸光齿艺,medical,医疗保健服务;专科医院;口腔医院|医疗保健服务;诊所;诊所,金牛区,103.978799,30.723262
太极大药房(土龙路药店),medical,医疗保健服务;医药保健销售店;药房,金牛区,103.977548,30.719684
高新全愈堂中西医诊所,medical,医疗保健服务;诊所;诊所,金牛区,103.974771,30.720961
成都全愈堂中海药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,103.974824,30.720883
立创大药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,103.976551,30.724826
植物医师,medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,103.976767,30.724547
一心堂(汇川街店),medical,医疗保健服务;医药保健销售店;药房,金牛区,103.977843,30.724128
祺晨健康生活馆(中海店),medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,103.979155,30.720122
广安堂大药房(汇川街分店),medical,医疗保健服务;医药保健销售店;药房,金牛区,103.977434,30.723974
汪氏蜜蜂园,medical,医疗保健服务;医药保健销售店;医疗保健用品,金牛区,103.976767,30.724547
青少年视力康复中心(中海国际店),medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,103.976397,30.72502
发大夫专攻白发脱发(阳光街),medical,医疗保健服务;医药保健销售店;医疗保健用品,金牛区,103.977989,30.722952
金牛区金泉街道互助社区卫生站,medical,医疗保健服务;综合医院;卫生院,金牛区,103.987815,30.725003
郫县景仁药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,103.990668,30.729232
四川康贝大药房(金牛加劲药店),medical,医疗保健服务;医药保健销售店;药房,金牛区,103.985971,30.722108
金泉社区卫生服务中心,medical,医疗保健服务;综合医院;卫生院,金牛区,104.003293,30.724371
永康诊所(金科北路),medical,医疗保健服务;诊所;诊所,金牛区,104.003695,30.723536
济仁药店(金科西路),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.000406,30.722726
五里墩李氏诊所,medical,医疗保健服务;诊所;诊所,金牛区,103.999024,30.725289
金牛永益诊所,medical,医疗保健服务;诊所;诊所,金牛区,103.999526,30.721534
鑫恒康药房(恒熙药房),medical,医疗保健服务;医药保健销售店;药房,金牛区,103.994533,30.724499
林草药,medical,医疗保健服务;医药保健销售店;医疗保健用品,金牛区,103.997508,30.722499
天乐药业(恒熙药房),medical,医疗保健服务;医药保健销售店;药房,金牛区,103.996007,30.724685
本草堂药品(福通堂药房),medical,医疗保健服务;医药保健销售店;药房,金牛区,103.999296,30.724789
永康诊所(金科北路),medical,医疗保健服务;诊所;诊所,金牛区,104.003695,30.723536
