name,category,type,district,wgs_lng,wgs_lat,weight
齐力花园茶楼,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,104.011855,30.677183,1
成都乐科食品有限公司,catering,餐饮服务;冷饮店;冷饮店,青羊区,104.008965,30.676099,1
馨逸茶坊(金凤路),catering,餐饮服务;茶艺馆;茶艺馆,青羊区,104.00491,30.679162,1
七选茶,catering,餐饮服务;甜品店;甜品店,青羊区,104.010302,30.674067,1
嘉逸茶馆,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,104.01307,30.675822,1
金沙鑫苑茶楼,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,104.007102,30.67614,2
酒·兔,catering,餐饮服务;中餐厅;特色/地方风味餐厅,青羊区,104.013634,30.67395,1
周氏麻辣烧烤,catering,餐饮服务;中餐厅;特色/地方风味餐厅,青羊区,104.009765,30.674606,1
浣花饭店,catering,餐饮服务;中餐厅;中餐厅,青羊区,104.004182,30.674944,2
李记家常味,catering,餐饮服务;中餐厅;中餐厅,青羊区,104.013599,30.677912,2
独角兽,catering,餐饮服务;咖啡厅;咖啡厅,青羊区,104.01749,30.670527,89
万春老卤家常菜(成都店),catering,餐饮服务;中餐厅;中餐厅,青羊区,104.02278,30.679284,2
伊卡冰,catering,餐饮服务;冷饮店;冷饮店,青羊区,104.016675,30.674814,19
茶道,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,104.016709,30.676766,118
乡里面,catering,餐饮服务;中餐厅;中餐厅,青羊区,104.019564,30.673223,5
茶语间,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,104.014877,30.674367,13
竹轩,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,104.021249,30.673499,13
喜香园,catering,餐饮服务;中餐厅;中餐厅,青羊区,104.020842,30.672804,8
烤鱼堂,catering,餐饮服务;中餐厅;特色/地方风味餐厅,青羊区,104.0234,30.671363,41
干一锅,catering,餐饮服务;中餐厅;火锅店,青羊区,104.01849,30.67365,8
布鲁蜜蛋糕西点,catering,餐饮服务;糕饼店;糕饼店,青羊区,104.021075,30.678086,1
双顺餐馆,catering,餐饮服务;中餐厅;中餐厅,青羊区,104.016457,30.673491,2
罗肥羊涮羊肉,catering,餐饮服务;中餐厅;火锅店,青羊区,104.022023,30.672516,3
大观茶楼,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,104.020622,30.678582,4
飞机洽啡,catering,餐饮服务;咖啡厅;咖啡厅,青羊区,104.019622,30.678698,4
点点面(战旗店),catering,餐饮服务;中餐厅;中餐厅,青羊区,104.016461,30.67911,4
欧拉披萨,catering,餐饮服务;快餐厅;快餐厅,青羊区,104.01742,30.67935,3
刘氏私房菜(石人巷),catering,餐饮服务;中餐厅;中餐厅,青羊区,104.023076,30.676962,3
麻抄手(清江店),catering,餐饮服务;中餐厅;特色/地方风味餐厅,青羊区,104.01741,30.673323,6
逗茶,catering,餐饮服务;冷饮店;冷饮店,青羊区,104.022535,30.668273,104
面包印象(西城家园店),catering,餐饮服务;糕饼店;糕饼店,青羊区,104.019911,30.676709,1
好想吃冒菜(二环路西二段店),catering,餐饮服务;中餐厅;中餐厅,青羊区,104.021413,30.67907,1
西南财经大学光华校区校友之家,catering,餐饮服务;咖啡厅;咖啡厅|体育休闲服务;休闲场所;休闲场所,青羊区,104.014197,30.672793,1
厕所串串(西门店),catering,餐饮服务;中餐厅;火锅店,青羊区,104.019403,30.679306,2
禧庆茶楼,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,104.01469,30.677141,6
金芳源茶楼,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,104.018677,30.675236,1
北平楼涮羊肉烤鸭,catering,餐饮服务;中餐厅;火锅店,青羊区,104.019855,30.677914,1
金沙世纪酒店-中餐,catering,餐饮服务;中餐厅;中餐厅,青羊区,104.019742,30.671254,2
盐边羊肉米线,catering,餐饮服务;中餐厅;中餐厅,青羊区,104.019552,30.675727,2
简阳三岔麻羊,catering,餐饮服务;中餐厅;中餐厅,青羊区,104.0212,30.675427,1
姥姥秘制私房美食,catering,餐饮服务;快餐厅;快餐厅,青羊区,104.018637,30.677734,1
贰两多,catering,餐饮服务;中餐厅;中餐厅,青羊区,104.030261,30.673621,38
清江茶楼,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,104.031399,30.670893,3
荆山蓬门,catering,餐饮服务;中餐厅;湖北菜(鄂菜),青羊区,104.029801,30.671315,24
映画茶廊,catering,餐饮服务;茶艺馆;茶艺馆,金牛区,104.032751,30.674063,13
祥云轩茶舍,catering,餐饮服务;茶艺馆;茶艺馆,金牛区,104.032737,30.676688,3
好又香,catering,餐饮服务;快餐厅;快餐厅,青羊区,104.027415,30.677952,2
鸿运来,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.029182,30.67753,10
榕园,catering,餐饮服务;中餐厅;中餐厅,青羊区,104.028455,30.668841,129
烤鱼吧,catering,餐饮服务;中餐厅;特色/地方风味餐厅,青羊区,104.026288,30.678457,5
南蓉,catering,餐饮服务;中餐厅;中餐厅,青羊区,104.025209,30.673195,37
邛崃奶汤面,catering,餐饮服务;中餐厅;特色/地方风味餐厅,青羊区,104.031981,30.670825,1
谷麦园,catering,餐饮服务;中餐厅;中餐厅,青羊区,104.027207,30.670663,11
天天海鲜,catering,餐饮服务;中餐厅;海鲜酒楼,青羊区,104.027543,30.676031,7
杏苑,catering,餐饮服务;茶艺馆;茶艺馆,金牛区,104.033704,30.672806,9
环球嘉艺宴会外卖公司,catering,餐饮服务;外国餐厅;西餐厅(综合风味),金牛区,104.032321,30.675259,1
冰雪屋,catering,餐饮服务;冷饮店;冷饮店,青羊区,104.027696,30.677379,2
老何烧烤始创于1998年,catering,餐饮服务;中餐厅;特色/地方风味餐厅,青羊区,104.026503,30.670828,1
