name,category,type,district,wgs_lng,wgs_lat,weight
斑马水族,shopping,购物服务;花鸟鱼虫市场;花鸟鱼虫市场,成华区,104.158672,30.641124,1
视觉科技广场,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.969866,30.634487,1
全时便利店(西部智谷C区店),shopping,购物服务;便民商店/便利店;便民商店/便利店,武侯区,103.971925,30.633521,1
友缘超市,shopping,购物服务;便民商店/便利店;便民商店/便利店,武侯区,103.965591,30.631389,10
友诚茶,shopping,购物服务;专卖店;专营店,武侯区,103.964922,30.632511,6
太太乐便民超市(武青西四路),shopping,购物服务;便民商店/便利店;便民商店/便利店,武侯区,103.967653,30.638391,1
友邦吊顶,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.968274,30.639285,2
领越,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.964335,30.631474,8
恒元超市(金瓦路),shopping,购物服务;便民商店/便利店;便民商店/便利店,武侯区,103.969438,30.630097,1
佳源超市(金瓦路),shopping,购物服务;便民商店/便利店;便民商店/便利店,武侯区,103.967765,30.629836,1
蒲妹鞋材,shopping,购物服务;专卖店;专营店,武侯区,103.964241,30.629874,4
荣兴文具店(武青西四路),shopping,购物服务;文化用品店;文化用品店,武侯区,103.967121,30.639181,1
史丹利老厂,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.966308,30.639259,1
四川瑞星行,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.979821,30.633301,1
红旗奔腾,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.980571,30.635225,1
洲艺画&框,shopping,购物服务;专卖店;专营店,武侯区,103.980628,30.633521,1
东坡文化超市,shopping,购物服务;便民商店/便利店;便民商店/便利店,武侯区,103.980956,30.635864,2
晶众油管接头,shopping,购物服务;专卖店;专营店,武侯区,103.979227,30.637761,1
三全食品,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.976843,30.631426,1
中天机械,shopping,购物服务;专卖店;专营店,武侯区,103.979004,30.638367,1
羊肉切片机,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.974787,30.636202,1
挑战超级狗狗,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.982584,30.636646,1
果然服饰,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.982313,30.637214,5
世柏嘉豪,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.982679,30.631944,3
红照天商贸,shopping,购物服务;专卖店;烟酒专卖店,武侯区,103.982242,30.637933,1
CHERRY,shopping,购物服务;专卖店;儿童用品店,武侯区,103.983017,30.631442,8
看书网,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.974309,30.63688,4
那科通信,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.975837,30.630464,1
翠源春茶行,shopping,购物服务;专卖店;专营店,武侯区,103.983741,30.629852,2
安科大厦超市,shopping,购物服务;超级市场;超市,武侯区,103.975528,30.632957,1
7-ELEVEn(西部智谷东店),shopping,购物服务;便民商店/便利店;7-ELEVEn便利店,武侯区,103.975001,30.636997,1
文文副食店(武科东二路),shopping,购物服务;便民商店/便利店;便民商店/便利店,武侯区,103.987777,30.633057,1
酒立方,shopping,购物服务;专卖店;烟酒专卖店,武侯区,103.98817,30.6327,1
奥娜,shopping,购物服务;购物相关场所;购物相关场所,武侯区,103.991475,30.635632,27
舞东风(武青嘉苑分店),shopping,购物服务;便民商店/便利店;便民商店/便利店,武侯区,103.989311,30.637353,1
