name,category,type,district,wgs_lng,wgs_lat,weight
成都城北医院妇科治疗室,medical,医疗保健服务;综合医院;综合医院,成华区,104.099265,30.712312,1
成都华山医院,medical,医疗保健服务;综合医院;综合医院,成华区,104.100372,30.713343,1
成华平安诊所,medical,医疗保健服务;诊所;诊所,成华区,104.09628,30.717825,2
盖亚诊所,medical,医疗保健服务;诊所;诊所,成华区,104.09722,30.711914,3
协和门诊,medical,医疗保健服务;诊所;诊所,成华区,104.099104,30.715508,1
愈美大药房,medical,医疗保健服务;医药保健销售店;药房,成华区,104.104129,30.717756,15
同仁医院,medical,医疗保健服务;综合医院;综合医院,成华区,104.107682,30.715994,9
美亚口腔诊所,medical,医疗保健服务;专科医院;口腔医院|医疗保健服务;诊所;诊所,成华区,104.112142,30.717464,5
成华青山诊所,medical,医疗保健服务;诊所;诊所,成华区,104.109401,30.712772,1
成华佳益诊所,medical,医疗保健服务;诊所;诊所,成华区,104.112369,30.715272,3
全康堂药房,medical,医疗保健服务;医药保健销售店;药房,成华区,104.111478,30.713598,2
新山黄氏中医,medical,医疗保健服务;诊所;诊所,成华区,104.12708,30.716182,4
百信药业(鑫森大药房店),medical,医疗保健服务;医药保健销售店;药房,成华区,104.125567,30.71491,1
新洪诊所,medical,医疗保健服务;诊所;诊所,成华区,104.139408,30.71846,2
逆光医疗美容,medical,医疗保健服务;专科医院;专科医院,成华区,104.149805,30.719273,1
君康诊所,medical,医疗保健服务;诊所;诊所,成华区,104.156438,30.709946,1
精康乐诊所,medical,医疗保健服务;诊所;诊所,成华区,104.165753,30.71559,2
健源诊所,medical,医疗保健服务;诊所;诊所,成华区,104.168193,30.708465,20
成华君康诊所,medical,医疗保健服务;诊所;诊所,成华区,104.16649,30.711759,1
弘博诊所,medical,医疗保健服务;诊所;诊所,成华区,104.167927,30.717677,1
任氏中医骨科,medical,医疗保健服务;专科医院;骨科医院,成华区,104.171712,30.709919,1
桂林社区卫生服务站,medical,医疗保健服务;综合医院;卫生院,成华区,104.183082,30.716109,1
成华区龙潭街道桂林社区卫生服务站,medical,医疗保健服务;综合医院;卫生院|医疗保健服务;诊所;诊所,成华区,104.182267,30.718475,1
成华芳芳诊所,medical,医疗保健服务;诊所;诊所,成华区,104.18078,30.709549,1
彭氏便民诊所,medical,医疗保健服务;诊所;诊所,青羊区,103.969163,30.701227,1
国清诊所,medical,医疗保健服务;诊所;诊所,金牛区,103.978067,30.706413,16
新两河大药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,103.977659,30.708862,2
金牛鸿安堂诊所,medical,医疗保健服务;诊所;诊所,金牛区,103.981445,30.701708,3
国医门诊,medical,医疗保健服务;诊所;诊所,金牛区,103.982775,30.703202,1
泰康堂大药房(清淳二街药店),medical,医疗保健服务;医药保健销售店;药房,金牛区,103.978184,30.704443,1
新康华诊所,medical,医疗保健服务;诊所;诊所,金牛区,103.98873,30.708637,1
金牛家鸿口腔,medical,医疗保健服务;专科医院;口腔医院,金牛区,103.995109,30.707869,8
郑氏门诊,medical,医疗保健服务;诊所;诊所,金牛区,103.984423,30.700873,1
臻瑞阿芙罗医疗美容,medical,医疗保健服务;专科医院;整形美容,金牛区,104.00165,30.70586,2
慈医堂诊所,medical,医疗保健服务;诊所;诊所,金牛区,103.999464,30.705226,8
求不疼诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.004763,30.708365,5
百信药业(百仁药房),medical,医疗保健服务;医药保健销售店;药房,青羊区,103.996794,30.702093,1
礼尧大药房,medical,医疗保健服务;医药保健销售店;药房,青羊区,104.004139,30.700143,3
鼎圣堂大药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.002225,30.708675,1
国医堂,medical,医疗保健服务;诊所;诊所,金牛区,104.013258,30.700758,20
百信药业(蜀汉路),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.006072,30.701943,1
禅杏堂,medical,医疗保健服务;诊所;诊所,金牛区,104.004771,30.706568,2
成都西华医院,medical,医疗保健服务;综合医院;综合医院,金牛区,104.007986,30.70389,1
金牛桂莎诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.006707,30.707589,2
金牛良康诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.007662,30.699328,7
博仁诊所(千和茗居西北),medical,医疗保健服务;诊所;诊所,金牛区,104.009865,30.700981,1
金伟银牙科,medical,医疗保健服务;专科医院;口腔医院,金牛区,104.018045,30.70523,15
