name,category,type,district,wgs_lng,wgs_lat,weight
鸿达广告(东林二路),life,生活服务;生活服务场所;生活服务场所,成华区,104.129716,30.722259,3
新山生活垃圾压缩站,life,生活服务;生活服务场所;生活服务场所,成华区,104.126724,30.721384,2
永丰建材配送中心,life,生活服务;物流速递;物流速递,成华区,104.125863,30.726997,1
老袁专业焊校大梁,life,生活服务;生活服务场所;生活服务场所,成华区,104.128196,30.720741,1
合兴货运,life,生活服务;物流速递;物流速递,成华区,104.131324,30.727393,4
天丰建材开票处,life,生活服务;生活服务场所;生活服务场所,成华区,104.124912,30.721502,1
安驰物流,life,生活服务;物流速递;物流速递,成华区,104.130911,30.720119,12
成华区青龙街道一里塘社区服务站,life,生活服务;生活服务场所;生活服务场所,成华区,104.134048,30.727769,1
四川省大件运输公司第二分公司,life,生活服务;物流速递;物流速递,成华区,104.142554,30.719537,1
广州源灏物流,life,生活服务;物流速递;物流速递,成华区,104.144839,30.720333,5
成华区龙潭社区和成社区服务站,life,生活服务;生活服务场所;生活服务场所,成华区,104.152158,30.72288,1
成华区龙潭街道和成社区服务站,life,生活服务;生活服务场所;生活服务场所,成华区,104.154918,30.722769,1
王妃,life,生活服务;美容美发店;美容美发店,成华区,104.165439,30.718241,61
倩莎美业,life,生活服务;美容美发店;美容美发店,成华区,104.165682,30.721245,1
康巴物流,life,生活服务;物流速递;物流速递,成华区,104.175411,30.722778,1
成都高新区恒达试验设备维修服务部,life,生活服务;维修站点;维修站点,金牛区,103.964918,30.717648,1
惠民网配送中心,life,生活服务;生活服务场所;生活服务场所,金牛区,103.964079,30.719016,1
金火焰燃气(土龙路配送点),life,生活服务;生活服务场所;生活服务场所,金牛区,103.965675,30.716153,1
靓丽纹绣,life,生活服务;美容美发店;美容美发店,金牛区,103.982224,30.714946,17
韵达快运(龙湖·源著西南),life,生活服务;物流速递;物流速递,金牛区,103.978074,30.715807,1
巧手私人定制,life,生活服务;美容美发店;美容美发店,金牛区,103.983514,30.713871,1
星空间,life,生活服务;美容美发店;美容美发店,金牛区,103.978372,30.706871,90
特约代理点,life,生活服务;生活服务场所;生活服务场所,金牛区,103.983484,30.710443,1
秀阁,life,生活服务;美容美发店;美容美发店,金牛区,103.985716,30.713524,26
顶峰造型,life,生活服务;美容美发店;美容美发店,金牛区,103.991228,30.711301,63
三泰魔方速递易,life,生活服务;物流速递;物流速递,金牛区,103.989894,30.716667,1
静轩图文,life,生活服务;生活服务场所;生活服务场所,金牛区,103.987943,30.718115,17
维修服务区,life,生活服务;生活服务场所;生活服务场所,金牛区,103.985022,30.716505,1
成都宝悦MINI,life,生活服务;生活服务场所;生活服务场所,金牛区,103.992493,30.716067,2
华星华驰克莱斯勒服务有限公司售后服务顾问,life,生活服务;生活服务场所;生活服务场所,金牛区,103.984788,30.718061,1
飞鸿广告,life,生活服务;生活服务场所;生活服务场所,金牛区,103.991637,30.71897,1
九寨运业,life,生活服务;生活服务场所;生活服务场所,金牛区,103.997406,30.715132,9
玲云美发,life,生活服务;美容美发店;美容美发店,金牛区,103.999017,30.713186,8
租房售房,life,生活服务;生活服务场所;生活服务场所,金牛区,104.001858,30.716699,7
全秀按摩,life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,104.001832,30.714095,3
菜鸟驿站,life,生活服务;生活服务场所;生活服务场所,金牛区,104.003167,30.714615,1
四川鼎鑫至永资产评估事务所有限责任公司(第二办公区),life,生活服务;生活服务场所;生活服务场所,金牛区,103.995231,30.717235,1
自行车租赁点(迎宾大道),life,生活服务;生活服务场所;生活服务场所,金牛区,104.001587,30.710807,1
晟大房产,life,生活服务;生活服务场所;生活服务场所,金牛区,103.997969,30.706819,49
法斯特消防安全性能评估有限公司,life,生活服务;事务所;评估事务所,金牛区,103.995595,30.718425,1
四川博力律师事务所,life,生活服务;事务所;律师事务所,金牛区,104.000683,30.711771,1
保修中心,life,生活服务;生活服务场所;生活服务场所,金牛区,104.009128,30.713153,9
日月地产,life,生活服务;生活服务场所;生活服务场所,金牛区,104.007702,30.715882,4
锦颜国际美容养生会所,life,生活服务;美容美发店;美容美发店,金牛区,104.010761,30.71394,1
物业,life,生活服务;生活服务场所;生活服务场所,金牛区,104.008562,30.708878,37
金牛西苑物业服务中心,life,生活服务;生活服务场所;生活服务场所,金牛区,104.011305,30.716079,1
快递之家,life,生活服务;生活服务场所;生活服务场所,金牛区,104.008851,30.711549,3
蓝领集团车辆上牌处,life,生活服务;生活服务场所;生活服务场所,金牛区,104.010198,30.716958,2
自行车租赁点(金瑞路),life,生活服务;生活服务场所;生活服务场所,金牛区,104.005832,30.712305,1
逸品印务,life,生活服务;生活服务场所;生活服务场所,金牛区,104.011896,30.717882,3
婚纱照场,life,生活服务;生活服务场所;生活服务场所,金牛区,104.01176,30.719173,1
中国电信(土桥营业厅),life,生活服务;电讯营业厅;中国电信营业厅,金牛区,104.004013,30.718503,1
艾普宽带总部营业厅,life,生活服务;电讯营业厅;电讯营业厅,金牛区,104.006963,30.716964,2
天地源,life,生活服务;美容美发店;美容美发店,金牛区,104.020237,30.713906,35
龙师傅修车,life,生活服务;维修站点;维修站点,金牛区,104.017647,30.712229,8
博力多配送,life,生活服务;物流速递;物流速递,金牛区,104.018124,30.716059,1
收废铁,life,生活服务;生活服务场所;生活服务场所,金牛区,104.019396,30.716379,6
琼嘎物流,life,生活服务;物流速递;物流速递,金牛区,104.02047,30.711482,3
路正驾校报名点(西城首峻东),life,生活服务;生活服务场所;生活服务场所,金牛区,104.023321,30.713214,2
摩达,life,生活服务;生活服务场所;生活服务场所,金牛区,104.022521,30.707815,38
八面风物流,life,生活服务;物流速递;物流速递,金牛区,104.023345,30.710756,3
蓝光矿泉水(金卉路),life,生活服务;生活服务场所;生活服务场所,金牛区,104.013979,30.710433,1
新东方咨询中心,life,生活服务;生活服务场所;生活服务场所,金牛区,104.014302,30.718897,1
凯林焊接,life,生活服务;生活服务场所;生活服务场所,金牛区,104.028669,30.713628,7
