name,category,type,district,wgs_lng,wgs_lat,weight
绿舟双水幼儿园,edu,科教文化服务;学校;幼儿园,成华区,104.078001,30.716746,1
双水小学,edu,科教文化服务;学校;小学,成华区,104.088287,30.715699,2
双水碾中学,edu,科教文化服务;学校;中学,成华区,104.084472,30.715208,1
诺维思教育培训,edu,科教文化服务;培训机构;培训机构,成华区,104.091304,30.710318,2
浩瑞教育,edu,科教文化服务;培训机构;培训机构,成华区,104.090261,30.709252,6
彩虹幼儿园(中环路双荆路路段),edu,科教文化服务;学校;幼儿园,成华区,104.086987,30.713519,1
苹果树英语中心,edu,科教文化服务;科教文化场所;科教文化场所,成华区,104.090749,30.714794,1
天天教育,edu,科教文化服务;培训机构;培训机构,成华区,104.090298,30.716862,3
清大学习吧,edu,科教文化服务;培训机构;培训机构,成华区,104.092932,30.709398,1
至诚教育,edu,科教文化服务;培训机构;培训机构,成华区,104.089049,30.713678,1
艺蓉舞蹈培训学校(双荆路校区),edu,科教文化服务;培训机构;培训机构,成华区,104.093082,30.710746,1
安亲宝贝专业托管课外辅导,edu,科教文化服务;培训机构;培训机构,成华区,104.093102,30.716121,1
但昭义钢琴艺术中心,edu,科教文化服务;培训机构;培训机构,成华区,104.095079,30.712971,1
艺婷舞蹈(总校),edu,科教文化服务;培训机构;培训机构,成华区,104.095543,30.70896,3
正格博雅艺术中心,edu,科教文化服务;美术馆;美术馆,成华区,104.101708,30.715494,4
双水小学(东区),edu,科教文化服务;学校;小学,成华区,104.097457,30.715022,1
蓉铁花园幼儿园,edu,科教文化服务;学校;幼儿园,成华区,104.098889,30.715753,1
西南华西肾病医学研究院,edu,科教文化服务;科研机构;科研机构,成华区,104.100372,30.713343,1
成都动物园科普馆,edu,科教文化服务;科技馆;科技馆,成华区,104.100928,30.710912,1
般若教育,edu,科教文化服务;培训机构;培训机构,成华区,104.094261,30.709002,6
成都迪丽斯西点培训学校,edu,科教文化服务;培训机构;培训机构,成华区,104.099604,30.714517,2
丹秋·名师堂学校,edu,科教文化服务;培训机构;培训机构,成华区,104.096489,30.710804,2
成都市北新实验小学,edu,科教文化服务;学校;小学,成华区,104.106553,30.716305,2
青龙西林幼儿园,edu,科教文化服务;学校;幼儿园,成华区,104.106132,30.709474,1
成都十三幼儿园(荆翠分园),edu,科教文化服务;学校;幼儿园,成华区,104.112888,30.717616,1
天地鹰飞艺术中心,edu,科教文化服务;美术馆;美术馆,成华区,104.107713,30.716757,2
成都野生动物研究所,edu,科教文化服务;科研机构;科研机构,成华区,104.106349,30.711556,2
大成驾校,edu,科教文化服务;培训机构;培训机构,成华区,104.10438,30.717846,1
金脑壳教育(东昌路),edu,科教文化服务;培训机构;培训机构,成华区,104.104098,30.716062,1
思维数学双语托管呼吸作文,edu,科教文化服务;科教文化场所;科教文化场所,成华区,104.106167,30.717936,1
蘑菇琴行,edu,科教文化服务;培训机构;培训机构,成华区,104.106934,30.714218,4
国栋教育,edu,科教文化服务;培训机构;培训机构,成华区,104.109068,30.718001,4
风华国乐艺术培训(动物园校区),edu,科教文化服务;培训机构;培训机构,成华区,104.108484,30.714073,1
名艺堂艺术中心,edu,科教文化服务;美术馆;美术馆,成华区,104.119625,30.7102,1
爱尚幼儿园,edu,科教文化服务;学校;幼儿园,成华区,104.11614,30.71748,1
成华区青龙街道新山社区家长学校,edu,科教文化服务;科教文化场所;科教文化场所,成华区,104.129882,30.714228,1
起跑线·名师堂,edu,科教文化服务;培训机构;培训机构,成华区,104.16632,30.717168,1
英朗教育,edu,科教文化服务;培训机构;培训机构,成华区,104.166906,30.718602,1
海蓝天幼儿园(桂林北路),edu,科教文化服务;学校;幼儿园,成华区,104.182704,30.717642,1
成都市峨眉武术学校,edu,科教文化服务;学校;学校,成华区,104.182325,30.71852,2
桂林小学,edu,科教文化服务;学校;小学,成华区,104.177675,30.716846,1
成飞幼儿园,edu,科教文化服务;学校;幼儿园,青羊区,103.965078,30.699716,2
欢欢幼儿园(纬一路),edu,科教文化服务;学校;幼儿园,青羊区,103.969763,30.699886,2
金泉街道社区教育学校,edu,科教文化服务;学校;成人教育,金牛区,103.976585,30.70561,7
成都市金牛区神龙幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,103.979394,30.699434,5
雯雯幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,103.983334,30.700943,1
优悠幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,103.974974,30.70874,1
魏达艺术工作室,edu,科教文化服务;培训机构;培训机构,金牛区,103.976638,30.707649,4
门幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,103.991755,30.707864,2
靖水山庄休闲会议中心,edu,科教文化服务;会展中心;会展中心,金牛区,103.983922,30.702287,1
伯努艺术中心,edu,科教文化服务;美术馆;美术馆,金牛区,103.993136,30.708085,2
四川正路建设工程检测咨询有限公司材料实验室,edu,科教文化服务;科研机构;科研机构|公司企业;公司;公司,金牛区,103.983835,30.70567,1
成都市蜀西实验学校,edu,科教文化服务;学校;中学,金牛区,103.99402,30.709434,1
迎宾路小学校,edu,科教文化服务;学校;小学,金牛区,104.002719,30.708836,1
华菲艺术中心,edu,科教文化服务;培训机构;培训机构,金牛区,103.99599,30.707587,1
趣学习培训学校(羊犀校区),edu,科教文化服务;培训机构;培训机构,金牛区,103.999236,30.705043,1
精英英语(西直门中心店),edu,科教文化服务;培训机构;培训机构,金牛区,104.001795,30.705831,1
成都市青羊区爱心幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,103.997739,30.703621,1
成都凯程圣地文化传播有限公司,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.00658,30.706226,1
韵萌艺术,edu,科教文化服务;培训机构;培训机构,金牛区,104.012833,30.701003,3
优米幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,104.00581,30.706857,1
大师教育,edu,科教文化服务;培训机构;培训机构,金牛区,104.00412,30.708752,4
成都市第四幼儿园锦绣分园,edu,科教文化服务;学校;幼儿园,金牛区,104.011142,30.70199,1
成都麒跃培训学校,edu,科教文化服务;培训机构;培训机构,金牛区,104.006087,30.701907,2
成都市京剧研究院,edu,科教文化服务;科研机构;科研机构,金牛区,104.008017,30.703756,1
青羊区新鸣乐技能培训工作室,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.012859,30.703732,1
成都市金牛区文化馆,edu,科教文化服务;文化宫;文化宫,金牛区,104.021531,30.703956,7
星拓研发中心,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.022361,30.70749,2
成都二十中(茶店子横街),edu,科教文化服务;学校;中学,金牛区,104.020638,30.700207,1
成都市第四幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,104.020318,30.703297,1
友谊小学校,edu,科教文化服务;学校;小学,金牛区,104.016013,30.709186,1
成都城市社区学校,edu,科教文化服务;学校;学校,金牛区,104.020472,30.704579,3
双丰实验幼稚园,edu,科教文化服务;学校;幼儿园,金牛区,104.023506,30.702196,2
武之团培训,edu,科教文化服务;培训机构;培训机构,金牛区,104.018862,30.705719,2
小书童托管教育中心(茶店子横街),edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.017368,30.701752,1
懋园风景鑫起点教育,edu,科教文化服务;培训机构;培训机构,金牛区,104.014076,30.701166,1
家家乐教育,edu,科教文化服务;培训机构;培训机构,金牛区,104.015058,30.702519,1
爱哆艺术,edu,科教文化服务;培训机构;培训机构,金牛区,104.015336,30.700972,1
成都市危险化学品安全培训中心危化品实作培训基地,edu,科教文化服务;培训机构;培训机构,金牛区,104.020494,30.707675,1
成都七中八一学校,edu,科教文化服务;学校;中学,金牛区,104.024093,30.70666,3
格林幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,104.032432,30.70269,1
含式特教,edu,科教文化服务;培训机构;培训机构,金牛区,104.024981,30.702539,1
法治大讲堂,edu,科教文化服务;培训机构;培训机构,金牛区,104.032851,30.701833,1
布梵画室,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.037262,30.702199,5
南瓜英语,edu,科教文化服务;培训机构;培训机构,金牛区,104.041728,30.705768,26
成都翰阳教育,edu,科教文化服务;培训机构;培训机构,金牛区,104.036254,30.700304,4
成都二十中花照学校,edu,科教文化服务;学校;中学,金牛区,104.038802,30.70053,1
行知小学校,edu,科教文化服务;学校;小学,金牛区,104.034211,30.705563,1
成都新世纪大地双语幼稚园,edu,科教文化服务;学校;幼儿园,金牛区,104.03487,30.702903,1
书香原教育,edu,科教文化服务;培训机构;培训机构,金牛区,104.035458,30.706263,3
蓝天书画院(银沙街),edu,科教文化服务;培训机构;培训机构,金牛区,104.041677,30.703259,1
绘画空间,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.037612,30.704376,7
成都市民道德讲堂,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.03887,30.708813,3
书香苑教育培训,edu,科教文化服务;培训机构;培训机构,金牛区,104.04213,30.707759,2
刘诗昆艺术学校(银河北街),edu,科教文化服务;培训机构;培训机构,金牛区,104.04028,30.702191,2
