community_id,name,district,center_lng,center_lat,polygon_wkt
29,府河·双桥苑,金牛区,104.040576,30.73883,"POLYGON ((104.0441665 30.7322219, 104.0387191 30.7367659, 104.0357515 30.7396588, 104.0342507 30.7412698, 104.0355076 30.7460013, 104.042593 30.746593, 104.0430049 30.7465715, 104.0505084 30.7410909, 104.0493393 30.7393266, 104.0441665 30.7322219))"
30,成都华侨城·东岸A2区,金牛区,104.036378,30.730236,"POLYGON ((104.0367034 30.7222615, 104.0371574 30.7260475, 104.0377898 30.7286274, 104.0393739 30.7288251, 104.045334 30.7284473, 104.0367034 30.7222615))"
31,华侨城·原岸6期,金牛区,104.043984,30.731469,"POLYGON ((104.0468991 30.7248987, 104.0405993 30.7251072, 104.0422824 30.7405312, 104.0514912 30.7284685, 104.0471311 30.7249754, 104.0468991 30.7248987))"
32,成都市沙河源社区,金牛区,104.051514,30.735183,"POLYGON ((104.0496205 30.72884, 104.0426459 30.7351259, 104.0457182 30.7393282, 104.0474233 30.740972, 104.0492172 30.7410611, 104.0505084 30.7410909, 104.0601437 30.737829, 104.062286 30.7352751, 104.0597708 30.7325683, 104.0558883 30.7307093, 104.0496205 30.72884))"
33,沙河原社区,金牛区,104.051514,30.735183,"POLYGON ((104.0496205 30.72884, 104.0426459 30.7351259, 104.0457182 30.7393282, 104.0474233 30.740972, 104.0492172 30.7410611, 104.0505084 30.7410909, 104.0601437 30.737829, 104.062286 30.7352751, 104.0597708 30.7325683, 104.0558883 30.7307093, 104.0496205 30.72884))"
34,沙河源街道川建社区,金牛区,104.051375,30.734149,"POLYGON ((104.0496205 30.72884, 104.0426459 30.7351259, 104.0457182 30.7393282, 104.0474233 30.740972, 104.0492172 30.7410611, 104.0505084 30.7410909, 104.0601437 30.737829, 104.062286 30.7352751, 104.0597708 30.7325683, 104.0558883 30.7307093, 104.0496205 30.72884))"
35,沙河源街道川建社区(西南门),金牛区,104.050525,30.732775,"POLYGON ((104.0467179 30.7261755, 104.0456306 30.7278591, 104.045334 30.7284473, 104.0426459 30.7351259, 104.0457182 30.7393282, 104.0492172 30.7410611, 104.0505084 30.7410909, 104.0597711 30.7327102, 104.0597708 30.7325683, 104.0561183 30.7283315, 104.0467179 30.7261755))"
36,泉水人家,金牛区,104.057722,30.731724,"POLYGON ((104.0561559 30.7232135, 104.0559548 30.7232331, 104.0496205 30.72884, 104.0464441 30.7323841, 104.0464016 30.7325203, 104.0460969 30.7337408, 104.0521668 30.7381126, 104.0601437 30.737829, 104.0638356 30.7352445, 104.0614705 30.7277063, 104.0575391 30.7241959, 104.0561559 30.7232135))"
37,泉水人家3期A区,金牛区,104.057646,30.734097,"POLYGON ((104.0577955 30.7280945, 104.0532467 30.7285695, 104.0457477 30.7351393, 104.0457231 30.7352021, 104.0492813 30.7383958, 104.0525696 30.7391032, 104.0601437 30.737829, 104.0638356 30.7352445, 104.0623339 30.7308342, 104.0577955 30.7280945))"
38,泉水人家3期B区,金牛区,104.061001,30.734015,"POLYGON ((104.0614705 30.7277063, 104.0577955 30.7280945, 104.0494083 30.7351786, 104.0494212 30.7352514, 104.0599922 30.7425756, 104.0685458 30.7381494, 104.0700589 30.7356539, 104.0623726 30.7280813, 104.0614705 30.7277063))"
39,腌卤巷,金牛区,104.058503,30.733116,"POLYGON ((104.0594885 30.7264317, 104.0564536 30.7273767, 104.0532467 30.7285695, 104.0496526 30.7324284, 104.0496428 30.7325864, 104.0521561 30.7353068, 104.0601437 30.737829, 104.0638356 30.7352445, 104.063867 30.7274044, 104.0594885 30.7264317))"
40,泉水人家2期A区,金牛区,104.058289,30.729679,"POLYGON ((104.0587532 30.7234776, 104.0558323 30.7251352, 104.0496205 30.72884, 104.0559056 30.7352932, 104.0603004 30.7352813, 104.067763 30.7283113, 104.0681862 30.7269765, 104.0680166 30.7261908, 104.0587532 30.7234776))"
